request_id,vehicle_id,service_type_id,mechanic_id,customer_id,charge_per_hour,estimated_duration_hours,total_payment
1,8711,29,159,2696,25.79,4,103.16
2,2003,18,31,645,24.8,4,99.2
3,2637,26,156,417,60.3,4,241.2
4,4215,16,159,8734,77.6,3,232.79999999999998
5,11902,4,168,1557,56.49,3,169.47
6,5650,25,101,4448,57.2,4,228.8
7,11109,14,190,5424,63.15,3,189.45
8,6069,15,194,5975,55.99,4,223.96
9,349,29,58,3686,51.88,4,207.52
10,7556,28,187,5247,70.66,4,282.64
11,11927,30,72,8016,94.53,5,472.65
12,1362,27,250,340,85.47,2,170.94
13,10126,23,159,9568,87.07,4,348.28
14,3563,24,212,7915,62.34,1,62.34
15,8847,23,219,6590,45.16,4,180.64
16,3559,25,12,8816,20.36,4,81.44
17,5175,27,55,3172,41.17,2,82.34
18,3474,1,68,8923,33.93,5,169.65
19,7586,28,9,36,21.88,4,87.52
20,6434,25,120,5727,47.0,4,188.0
21,7319,12,52,7114,84.4,2,168.8
22,11656,3,243,6954,36.87,1,36.87
23,2286,11,21,1706,57.69,2,115.38
24,2312,27,163,3315,24.22,2,48.44
25,5718,17,42,1471,57.98,3,173.94
26,2872,13,245,3689,74.81,2,149.62
27,479,18,197,868,82.62,4,330.48
28,4231,18,239,214,62.82,4,251.28
29,11328,17,183,7033,90.44,3,271.32
30,1296,4,43,6019,60.17,3,180.51
31,4958,10,180,3796,24.81,4,99.24
32,5220,22,213,7610,93.81,1,93.81
33,2079,3,26,2188,55.62,1,55.62
34,11508,13,133,1732,20.06,2,40.12
35,8697,29,25,7437,99.94,4,399.76
36,7028,8,234,6021,30.3,1,30.3
37,5470,5,239,6853,58.72,2,117.44
38,10707,15,30,1191,21.0,4,84.0
39,108,30,102,8752,52.83,5,264.15
40,10565,14,71,6868,99.37,3,298.11
41,5033,4,75,7745,90.91,3,272.73
42,5734,28,156,5094,54.22,4,216.88
43,9327,11,50,7645,43.35,2,86.7
44,3044,11,45,5203,56.75,2,113.5
45,6224,18,150,9334,71.21,4,284.84
46,8050,23,124,3623,74.44,4,297.76
47,9381,12,23,6358,70.12,2,140.24
48,6321,2,58,2640,97.93,4,391.72
49,10663,8,169,7872,79.17,1,79.17
50,494,4,68,279,90.55,3,271.65
51,5783,23,166,1013,74.31,4,297.24
52,10586,26,20,5754,71.53,4,286.12
53,1600,20,157,6226,78.27,1,78.27
54,10342,24,57,2308,37.89,1,37.89
55,10658,10,125,8050,32.08,4,128.32
56,11760,19,108,1234,76.16,1,76.16
57,5922,21,247,9972,98.13,4,392.52
58,5646,22,176,3768,38.41,1,38.41
59,8276,25,75,1502,51.48,4,205.92
60,11197,27,149,284,54.75,2,109.5
61,8971,24,196,8338,26.97,1,26.97
62,11791,23,187,6695,51.81,4,207.24
63,10841,27,203,3163,22.14,2,44.28
64,9433,18,15,5757,95.33,4,381.32
65,10468,17,56,4310,94.48,3,283.44
66,4492,27,146,3356,52.59,2,105.18
67,5272,14,136,1004,75.39,3,226.17000000000002
68,8558,16,114,4077,42.75,3,128.25
69,2376,10,231,4270,27.53,4,110.12
70,6954,15,100,2364,27.55,4,110.2
71,8795,16,191,4756,39.31,3,117.93
72,10113,14,74,8189,44.11,3,132.32999999999998
73,9875,21,52,2295,51.27,4,205.08
74,3871,24,78,8561,58.64,1,58.64
75,9897,24,244,2823,66.7,1,66.7
76,5499,4,108,2766,64.81,3,194.43
77,9654,2,143,5115,47.88,4,191.52
78,8622,26,40,6188,31.19,4,124.76
79,7812,29,53,3658,28.17,4,112.68
80,3068,11,134,1576,30.45,2,60.9
81,9182,30,120,6445,98.62,5,493.1
82,3653,9,2,4197,83.8,4,335.2
83,10206,15,250,4134,40.9,4,163.6
84,7662,14,88,2984,87.98,3,263.94
85,2115,10,103,6572,61.28,4,245.12
86,5425,25,30,6754,67.42,4,269.68
87,1091,16,95,1183,56.91,3,170.73
88,4056,12,177,2353,70.32,2,140.64
89,4868,11,67,7443,22.33,2,44.66
90,10260,27,84,117,70.05,2,140.1
91,5808,26,227,7203,40.79,4,163.16
92,5449,23,135,714,58.78,4,235.12
93,6874,10,137,7531,61.41,4,245.64
94,1885,8,140,4092,29.52,1,29.52
95,7474,14,12,8117,62.86,3,188.57999999999998
96,3849,7,90,9940,42.89,2,85.78
97,2892,21,235,2090,93.61,4,374.44
98,5937,5,74,8866,62.94,2,125.88
99,6339,28,4,3097,90.4,4,361.6
100,4069,10,28,7983,53.91,4,215.64
101,5782,10,105,1748,84.59,4,338.36
102,1618,4,166,9482,72.46,3,217.38
103,535,21,26,4799,73.89,4,295.56
104,7578,28,57,9309,71.27,4,285.08
105,11150,29,21,2776,86.27,4,345.08
106,8298,27,167,3856,95.25,2,190.5
107,5135,17,65,4616,64.8,3,194.39999999999998
108,11634,1,173,1623,30.77,5,153.85
109,7780,3,35,7249,98.37,1,98.37
110,11425,4,235,5271,50.81,3,152.43
111,8224,11,50,9857,20.36,2,40.72
112,9678,4,175,7388,42.54,3,127.62
113,7987,19,233,4136,21.12,1,21.12
114,8621,1,169,3151,22.3,5,111.5
115,8813,20,188,2622,33.33,1,33.33
116,10408,2,221,6593,40.91,4,163.64
117,1588,20,159,6375,46.06,1,46.06
118,4841,2,40,9258,39.61,4,158.44
119,6895,9,83,2077,85.71,4,342.84
120,10486,11,143,7417,97.29,2,194.58
121,8597,1,238,2763,39.04,5,195.2
122,6306,11,108,2924,99.26,2,198.52
123,717,1,142,134,49.2,5,246.0
124,8909,1,172,1969,89.04,5,445.20000000000005
125,9040,17,4,114,75.92,3,227.76
126,1,1,86,3197,56.49,5,282.45
127,2520,18,249,6510,89.22,4,356.88
128,7849,21,42,2533,24.09,4,96.36
129,3124,1,117,1156,24.91,5,124.55
130,8887,3,231,6949,65.69,1,65.69
131,2787,6,53,9672,57.39,5,286.95
132,10610,13,43,1849,49.3,2,98.6
133,1133,12,218,1111,98.04,2,196.08
134,9197,2,115,43,87.07,4,348.28
135,11125,29,33,7444,78.71,4,314.84
136,10153,22,43,9738,44.66,1,44.66
137,2535,22,144,6700,37.33,1,37.33
138,8814,25,219,3895,44.51,4,178.04
139,2745,23,226,6398,36.02,4,144.08
140,9546,25,230,8858,58.99,4,235.96
141,10732,9,158,5306,48.09,4,192.36
142,1450,2,157,2307,81.7,4,326.8
143,3764,8,93,5952,87.93,1,87.93
144,8261,12,117,2434,91.38,2,182.76
145,10641,8,68,6554,72.38,1,72.38
146,10611,17,209,9978,27.8,3,83.4
147,7122,3,170,9829,22.14,1,22.14
148,5263,30,143,8000,49.25,5,246.25
149,304,23,163,2451,66.96,4,267.84
150,1414,9,185,9588,68.12,4,272.48
151,936,26,225,9990,43.81,4,175.24
152,7023,15,145,5370,70.18,4,280.72
153,2570,21,11,3066,57.14,4,228.56
154,8324,20,175,1571,41.99,1,41.99
155,4314,30,139,1326,84.77,5,423.84999999999997
156,9215,20,246,1983,57.86,1,57.86
157,2650,17,72,5525,82.66,3,247.98
158,4930,18,190,7925,41.64,4,166.56
159,4219,2,216,723,66.11,4,264.44
160,2856,14,48,9055,92.91,3,278.73
161,8467,13,89,8849,87.22,2,174.44
162,8082,22,48,351,86.26,1,86.26
163,9134,21,170,369,48.44,4,193.76
164,339,3,146,8155,42.82,1,42.82
165,3446,25,169,5273,55.71,4,222.84
166,11234,5,169,2112,46.41,2,92.82
167,11428,25,96,6909,60.02,4,240.08
168,11505,23,141,4400,53.95,4,215.8
169,9827,24,4,24,28.32,1,28.32
170,11380,21,144,1823,30.22,4,120.88
171,3459,13,220,2497,41.86,2,83.72
172,3068,10,159,4677,82.78,4,331.12
173,11115,2,2,2219,97.85,4,391.4
174,5652,4,147,652,51.45,3,154.35000000000002
175,10664,15,232,2278,44.66,4,178.64
176,4413,25,109,830,69.72,4,278.88
177,5891,26,247,7751,75.13,4,300.52
178,2611,27,74,8728,58.34,2,116.68
179,4733,15,99,3979,96.21,4,384.84
180,891,22,137,3484,46.66,1,46.66
181,2164,22,138,9884,22.37,1,22.37
182,10125,4,220,931,22.96,3,68.88
183,11318,27,107,4094,41.36,2,82.72
184,7540,10,161,1319,60.39,4,241.56
185,4328,29,199,2206,23.64,4,94.56
186,2523,6,50,253,45.28,5,226.4
187,9236,16,225,5641,56.53,3,169.59
188,3520,25,212,7090,99.41,4,397.64
189,10691,25,48,8213,87.92,4,351.68
190,6196,12,246,7362,48.79,2,97.58
191,5853,12,36,5438,60.71,2,121.42
192,9134,11,241,6295,90.14,2,180.28
193,5900,1,186,6983,80.98,5,404.90000000000003
194,4381,17,123,8604,33.42,3,100.26
195,6568,10,224,8359,57.84,4,231.36
196,3673,2,14,881,34.06,4,136.24
197,5773,9,104,4343,47.25,4,189.0
198,4085,8,74,7287,69.74,1,69.74
199,5721,5,150,4351,70.83,2,141.66
200,8335,10,74,7457,20.48,4,81.92
201,1938,23,179,5102,49.75,4,199.0
202,5390,22,191,6319,36.96,1,36.96
203,3209,16,11,7003,68.27,3,204.81
204,5487,21,28,1076,61.81,4,247.24
205,9676,13,166,1977,35.83,2,71.66
206,10567,15,220,5964,72.4,4,289.6
207,5706,11,145,4578,33.08,2,66.16
208,9419,17,241,1691,73.21,3,219.63
209,4033,29,239,2487,43.1,4,172.4
210,10093,22,158,7541,87.77,1,87.77
211,7570,24,23,1327,61.58,1,61.58
212,1769,23,178,6184,55.32,4,221.28
213,7550,10,241,3174,50.32,4,201.28
214,4326,18,160,42,89.29,4,357.16
215,8516,11,155,2544,55.08,2,110.16
216,4232,8,176,6810,65.88,1,65.88
217,4446,16,65,9904,36.44,3,109.32
218,10419,10,199,7864,51.23,4,204.92
219,8467,18,150,3478,77.23,4,308.92
220,6848,3,101,1486,76.05,1,76.05
221,8626,22,124,7527,50.65,1,50.65
222,11915,11,135,914,63.17,2,126.34
223,3098,3,203,6788,70.76,1,70.76
224,2664,24,18,7325,86.98,1,86.98
225,595,21,202,454,88.76,4,355.04
226,3174,22,17,2199,99.43,1,99.43
227,326,12,82,8030,43.94,2,87.88
228,2293,30,161,8709,80.2,5,401.0
229,4948,30,87,6019,63.02,5,315.1
230,7239,14,147,5260,49.95,3,149.85000000000002
231,1542,21,44,6812,61.27,4,245.08
232,3722,2,127,8494,39.34,4,157.36
233,3436,4,201,8524,75.59,3,226.77
234,3962,12,149,5031,28.73,2,57.46
235,3866,25,191,4288,46.22,4,184.88
236,11745,6,52,2891,84.87,5,424.35
237,11355,17,15,2968,43.12,3,129.35999999999999
238,5231,27,128,1271,93.37,2,186.74
239,6279,6,208,7623,41.6,5,208.0
240,3403,11,27,4637,67.75,2,135.5
241,8427,27,106,3296,30.7,2,61.4
242,11483,2,40,3368,27.97,4,111.88
243,4202,21,232,546,30.38,4,121.52
244,1217,2,247,6232,20.23,4,80.92
245,10344,28,125,6355,38.59,4,154.36
246,4862,9,54,3402,42.39,4,169.56
247,6802,1,47,6150,97.64,5,488.2
248,3409,8,186,6008,51.85,1,51.85
249,1210,23,104,2937,67.39,4,269.56
250,8967,22,242,8116,23.02,1,23.02
251,2803,11,39,1551,48.8,2,97.6
252,11831,29,23,4408,74.24,4,296.96
253,11920,8,243,5751,88.36,1,88.36
254,1562,16,34,3244,73.48,3,220.44
255,8313,12,12,4313,78.42,2,156.84
256,10799,10,138,5959,33.56,4,134.24
257,841,21,227,2322,85.76,4,343.04
258,4028,11,74,7711,32.3,2,64.6
259,2761,9,10,5236,94.21,4,376.84
260,5902,26,209,3886,23.64,4,94.56
261,6646,29,20,1900,99.47,4,397.88
262,10041,1,2,4364,49.25,5,246.25
263,8698,30,155,2216,57.86,5,289.3
264,10397,6,51,4391,24.12,5,120.60000000000001
265,8058,2,193,6129,53.51,4,214.04
266,10890,8,57,5480,49.28,1,49.28
267,5861,13,62,8342,49.65,2,99.3
268,9091,3,135,2521,64.52,1,64.52
269,3439,20,145,7189,43.77,1,43.77
270,6383,19,144,694,23.5,1,23.5
271,5657,23,93,8001,76.92,4,307.68
272,3417,27,222,3317,92.6,2,185.2
273,55,15,160,2061,52.48,4,209.92
274,6363,1,148,4734,20.8,5,104.0
275,4127,15,227,6067,22.1,4,88.4
276,7455,26,81,255,46.65,4,186.6
277,11132,27,101,5686,82.54,2,165.08
278,8452,20,196,638,71.64,1,71.64
279,5294,18,239,6503,89.4,4,357.6
280,8141,28,203,2181,33.1,4,132.4
281,2773,10,47,691,40.16,4,160.64
282,298,2,103,3918,75.22,4,300.88
283,9407,4,223,610,86.13,3,258.39
284,9236,16,215,1651,79.12,3,237.36
285,4035,13,195,3968,47.19,2,94.38
286,1287,25,172,1490,87.61,4,350.44
287,11776,5,214,810,98.07,2,196.14
