request_id,vehicle_id,service_type_id,mechanic_id,customer_id,charge_per_hour,total_payment
SR00001,V005452,ST00001,M00006,C01727,34.08,68.16
SR00002,V003338,ST00003,M00003,C01811,34.89,34.89
SR00003,V002382,ST00006,M00072,C00138,52.34,104.68
SR00004,V005267,ST00001,M00051,C02836,68.42,136.84
SR00005,V005020,ST00001,M00093,C01044,80.84,161.68
SR00006,V004082,ST00006,M00042,C00339,26.15,52.3
SR00007,V004026,ST00002,M00087,C01311,59.31,59.31
SR00008,V000136,ST00001,M00062,C00470,46.94,93.88
SR00009,V003891,ST00001,M00070,C00042,34.38,68.76
SR00010,V000168,ST00001,M00060,C01633,68.22,136.44
SR00011,V001792,ST00001,M00074,C00366,33.71,67.42
SR00012,V002389,ST00006,M00063,C03704,56.33,112.66
SR00013,V002768,ST00003,M00007,C00725,83.72,83.72
SR00014,V003096,ST00005,M00036,C03531,66.54,66.54
SR00015,V001430,ST00006,M00013,C03168,52.43,104.86
SR00016,V000592,ST00005,M00098,C03347,43.29,43.29
SR00017,V002917,ST00006,M00041,C02676,31.17,62.34
SR00018,V002944,ST00005,M00061,C02813,31.67,31.67
SR00019,V002708,ST00006,M00033,C01373,90.43,180.86
SR00020,V001120,ST00001,M00017,C00587,68.55,137.1
SR00021,V003974,ST00001,M00080,C00254,93.92,187.84
SR00022,V002098,ST00007,M00074,C01655,39.74,158.96
SR00023,V001256,ST00007,M00034,C03810,40.58,162.32
SR00024,V000902,ST00003,M00027,C00253,64.16,64.16
SR00025,V003272,ST00007,M00019,C01282,46.43,185.72
SR00026,V004667,ST00003,M00010,C01839,88.89,88.89
SR00027,V000844,ST00007,M00046,C02442,97.33,389.32
SR00028,V004786,ST00002,M00092,C02458,51.22,51.22
SR00029,V002923,ST00003,M00078,C00916,59.2,59.2
SR00030,V003974,ST00007,M00054,C01109,49.95,199.8
SR00031,V002911,ST00007,M00054,C03348,58.77,235.08
SR00032,V004648,ST00006,M00082,C02894,32.79,65.58
SR00033,V002495,ST00006,M00069,C00511,40.67,81.34
SR00034,V000940,ST00002,M00019,C03926,93.1,93.1
