vehicle_id,customer_id,model_id,year,color,mileage
V000001,C01120,VM00005,2018,Moccasin,32164
V000002,C02479,VM00009,2008,MidnightBlue,198012
V000003,C00053,VM00006,2008,Maroon,82047
V000004,C01676,VM00010,2016,LightSlateGray,165804
V000005,C03119,VM00010,2023,Indigo,154450
V000006,C00249,VM00004,2014,LightSeaGreen,26551
V000007,C00994,VM00002,2006,DarkCyan,89891
V000008,C03827,VM00008,2021,MintCream,63936
V000009,C01353,VM00009,2009,DarkOrange,121008
V000010,C01720,VM00006,2008,Moccasin,15688
V000011,C02595,VM00009,2016,SpringGreen,69462
V000012,C03210,VM00008,2014,LightCoral,148651
V000013,C00661,VM00009,2016,GoldenRod,45635
V000014,C01890,VM00011,2014,Tan,179986
V000015,C00044,VM00008,2014,LawnGreen,76771
V000016,C03650,VM00004,2020,White,11909
V000017,C01578,VM00005,2005,PaleVioletRed,134628
V000018,C00309,VM00001,2009,LightSlateGray,63843
V000019,C00073,VM00006,2009,Orange,187210
V000020,C02691,VM00004,2023,MediumBlue,62403
V000021,C01483,VM00009,2018,DarkSalmon,69317
V000022,C00163,VM00007,2006,LightSkyBlue,64200
V000023,C00239,VM00008,2014,WhiteSmoke,120436
V000024,C03158,VM00012,2014,SaddleBrown,174841
V000025,C02455,VM00007,2011,CadetBlue,61614
V000026,C00406,VM00008,2010,Gold,43109
V000027,C01989,VM00008,2020,MediumBlue,8255
V000028,C03302,VM00001,2005,LightGray,82802
V000029,C00430,VM00011,2008,GhostWhite,68879
V000030,C03987,VM00004,2022,Indigo,10445
V000031,C03836,VM00008,2016,DeepPink,165489
V000032,C02540,VM00011,2007,FloralWhite,131687
V000033,C02576,VM00004,2006,DarkGoldenRod,120068
V000034,C01489,VM00008,2018,SpringGreen,113665
V000035,C01003,VM00010,2020,DarkSeaGreen,150836
V000036,C01806,VM00007,2023,CornflowerBlue,149500
V000037,C00612,VM00008,2014,White,153920
V000038,C02278,VM00003,2023,Green,55394
V000039,C03631,VM00009,2019,OldLace,113088
V000040,C00394,VM00001,2015,Aqua,53773
V000041,C01890,VM00004,2017,WhiteSmoke,140940
V000042,C01979,VM00007,2020,SeaGreen,157278
V000043,C03057,VM00008,2009,Teal,109757
V000044,C01074,VM00002,2009,GreenYellow,169431
V000045,C00025,VM00012,2021,PaleGreen,155852
V000046,C02286,VM00010,2019,Gray,106476
V000047,C02520,VM00010,2019,IndianRed,73548
V000048,C02285,VM00010,2019,Linen,190269
